Deal Year,Target Company,Sector,Geography,Deal Value (USD),Deal Type,Source,Source URL
2019,BYJU'S,Technology/EdTech,Asia - Emerging,$150 million,Funding Round (Led by QIA),Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2019,Fifth Avenue & Times Square Retail Properties (with Crown Acquisitions),Real Estate/Retail,United States,$5.6 billion portfolio (24% stake),Co-investment in Vornado Portfolio,"Gulf Times, AGBI",https://www.gulf-times.com/story/629616/QIA-Crown-acquire-iconic-retail-properties-in-New-York
2018,Compass,Real Estate/Technology,United States,$400 million,Funding Round (Co-led with SoftBank Vision Fund),Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2018,Grosvenor House Hotel (London),Real Estate/Hospitality,UK,Undisclosed,Acquisition via Katara Hospitality,"Euronews, CPP-Luxury",https://www.euronews.com/2018/11/06/qatar-agrees-to-buy-londons-grosvenor-house-hotel-source
2018,Lifestyle International Holdings,Retail,Asia - Developed,Undisclosed,Divestiture (sold entire 23.16% stake),Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2018,Santander Brasil,Banks/Financial Services,Latin America,$737 million,Partial Divestiture (sold 40% of 5.5% stake),"Gulf Times, PR Newswire",https://www.gulf-times.com/story/543394/QIA-sells-stake-worth-737mn-in-Banco-Santander-Bra
2018,The Plaza Hotel (New York),Real Estate/Hospitality,United States,$600 million,Full Acquisition via Katara Hospitality,"The Real Deal, Fortune",https://therealdeal.com/new-york/2018/07/03/qatari-group-closes-on-600m-purchase-of-plaza/
2018,Veolia Environnement,Infrastructure/Utilities,Europe (excluding UK),Undisclosed,Divestiture (sold 4.6% stake),Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2017,Gigamon,Technology/Networking,United States,$1.6 billion,Acquisition (Joint with Elliott Investment),Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2016,Balmain (French Fashion House),Retail/Luxury/Fashion,Europe (excluding UK),€485 million,Acquisition via Mayhoola for Investments,"IntellWings, Arabian Business",https://intelliwings.com/blogposts/2025/04/01/the-qatar-investment-authority-a-small-nations-portfolio-powerhouse/
2016,National Grid UK Gas Distribution,Infrastructure/Utilities,UK,Undisclosed (multi-billion),"61% Acquisition (Consortium with Macquarie, Allianz, Hermes, CIC)",Tracxn,https://tracxn.com/d/acquisitions/acquisitions-by-qatar-investment-authority/
2016,U.S. Infrastructure Investment Commitment,Infrastructure,United States,$10 billion,Investment Commitment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2015,Adani Green Energy,Energy/Renewables,Asia - Emerging,Undisclosed,Equity Investment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2015,Ascend Elements (Battery Materials),Technology/Energy Storage,United States,Undisclosed,Strategic Investment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2015,Barclays,Banks/Financial Services,UK,€7.5 billion (2008 investment),12.7% Stake,"The National, Arabian Business",https://www.thenational.ae/business/qatar-a-portfolio-that-will-only-grow-bigger-1.464198
2015,Canary Wharf Group,Real Estate,UK,Undisclosed (multi-billion),50% Stake Acquisition,"Wikipedia, Global Finance",https://gfmag.com/economics-policy-regulation/qia-key-investments/
2015,Deutsche Bank,Banks/Financial Services,Europe (excluding UK),Undisclosed,6.1% Stake Acquisition,"Finews Asia, Bloomberg",https://www.finews.asia/finance/28153-deutsche-bank-gets-additional-investment-from-qatar
2015,Excelsior Hotel Gallia (Milan),Real Estate/Hospitality,Europe (excluding UK),Undisclosed,Acquisition via Katara Hospitality,Katara Hospitality,https://www.katarahospitality.com/
2015,Harrods,Retail/Luxury,UK,Undisclosed,"Full Ownership (acquired 2010, held through period)","Wikipedia, Arabian Business",https://www.arabianbusiness.com/revealed-qatar-investment-authority-s-investments-across-world-674254.html
2015,Heathrow Airport,Infrastructure/Transportation,UK,Undisclosed,20% Stake,Global Finance,https://gfmag.com/economics-policy-regulation/qia-key-investments/
2015,Hochtief,Construction/Industrial,Europe (excluding UK),Undisclosed,Strategic Equity Stake,Arabian Business,https://www.arabianbusiness.com/revealed-qatar-investment-authority-s-investments-across-world-674254.html
2015,Iberdrola,Energy/Infrastructure,Europe (excluding UK),Undisclosed,Strategic Equity Stake,Wikipedia,https://en.wikipedia.org/wiki/Qatar_Investment_Authority
2015,"InterContinental Hotels - Five Properties (Carlton Cannes, Amstel Amsterdam, Madrid, Frankfurt, De La Ville Rome)",Real Estate/Hospitality,Europe (excluding UK),Undisclosed,Acquisition via Katara Hospitality,"Hospitality ON, LoyaltyLobby",https://loyaltylobby.com/2014/06/27/katara-buys-five-intercontinental-hotels-in-europe/
2015,Manhattan West Development (with Brookfield),Real Estate/Infrastructure,United States,Undisclosed,44% Stake in Joint Venture,The World Folio,https://www.theworldfolio.com/news/qatar-to-invest-35bn/4186/
2015,Porsche,Automotive/Industrial,Europe (excluding UK),Undisclosed,Strategic Equity Stake,Arabian Business,https://www.arabianbusiness.com/revealed-qatar-investment-authority-s-investments-across-world-674254.html
2015,QuantumScape (EV Battery Developer),Technology/Energy Storage,United States,Undisclosed,Strategic Investment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2015,Sainsbury (UK Supermarket),Retail/Consumer,UK,Undisclosed,22% Stake,IntellWings,https://intelliwings.com/blogposts/2025/04/01/the-qatar-investment-authority-a-small-nations-portfolio-powerhouse/
2015,The Savoy Hotel (London),Real Estate/Hospitality,UK,Undisclosed,50% Stake via Katara Hospitality,"Middle East Eye, Arabian Business",https://www.middleeasteye.net/news/qatar-firm-buys-50-percent-londons-storied-savoy-hotel
2015,The Shard,Real Estate,UK,Undisclosed,Ownership (95% via Qatari Diar),"Wikipedia, Arabian Business",https://www.arabianbusiness.com/revealed-qatar-investment-authority-s-investments-across-world-674254.html
2015,Volkswagen AG,Automotive/Industrial,Europe (excluding UK),Undisclosed (multi-billion),~17% Stake (Largest Shareholder),"Arabian Business, Wikipedia",https://www.arabianbusiness.com/revealed-qatar-investment-authority-s-investments-across-world-674254.html
2013,Printemps (Paris Department Store),Retail/Luxury,Europe (excluding UK),Undisclosed,Acquisition via Divine Investments SA,"Electrik Coast, IntellWings",https://www.electrikcoast.com/blog/printemps-nyc-qatars-latest-luxury-investment-in-new-york-city
2012,Paris Saint-Germain FC,Sports/Entertainment,Europe (excluding UK),Undisclosed (became 100% owner),Full Acquisition via Qatar Sports Investments,"Wikipedia, Business Wire",https://en.wikipedia.org/wiki/Qatar_Sports_Investments
2012,Valentino (Italian Fashion House),Retail/Luxury/Fashion,Europe (excluding UK),$850 million,Acquisition via Mayhoola for Investments,"IntellWings, Arabian Business",https://intelliwings.com/blogposts/2025/04/01/the-qatar-investment-authority-a-small-nations-portfolio-powerhouse/
