Deal Year,Target Company,Sector,Geography,Deal Value (USD),Deal Type,Source URL
2020,Marriott International,Hospitality/Hotels,United States,$513.9 million,Minority Stake (Q1 - divested Q2),https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Disney,Entertainment/Media,United States,$495.8 million,Minority Stake (Q1 - divested Q2),https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Royal Dutch Shell,Energy,Europe (excluding UK - Netherlands),$483.6 million,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Bank of America,Banks/Financial Services,United States,$487.6 million,Minority Stake (Q1 - divested Q2),https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,Suncor Energy,Energy,Global/Multi-region (Canada),$481 million,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Carnival Corporation,Entertainment/Hospitality,United States,$457 million,8.2% Stake (Q1 - divested Q2),https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Live Nation Entertainment,Entertainment/Hospitality,United States,$449 million,5.7% Stake Acquisition,https://www.argaam.com/en/article/articledetail/id/1371196
2020,Cisco Systems,Technology/Networking,United States,$491 million,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Canadian Natural Resources,Energy,Global/Multi-region (Canada),$408.1 million,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Total (TotalEnergies),Energy,Europe (excluding UK - France),$222.3 million,Minority Stake,https://www.nasdaq.com/articles/saudi-arabias-pif-buys-stakes-worth-$1-bln-in-european-oil-cos-amid-industry-downturn-2020
2020,Eni,Energy,Europe (excluding UK - Italy),~$200 million (est.),Minority Stake,https://www.nasdaq.com/articles/saudi-arabias-pif-buys-stakes-worth-$1-bln-in-european-oil-cos-amid-industry-downturn-2020
2020,Equinor,Energy,Europe (excluding UK - Norway),~$200 million,Minority Stake,https://www.nasdaq.com/articles/saudi-arabias-pif-buys-stakes-worth-$1-bln-in-european-oil-cos-amid-industry-downturn-2020
2020,Pfizer,Biotech/Pharmaceutical,United States,$78.5 million,Minority Stake (Q1 - divested Q2),https://www.tandfonline.com/doi/full/10.1080/09692290.2022.2069143
2020,Booking Holdings,Technology/Online Travel,United States,~$77-79 million (est.),Minority Stake (Q1),https://www.cnbc.com/2023/07/11/activision-ea-uber-heres-where-saudi-arabias-pif-has-invested.html
2020,IBM,Technology/Enterprise Software,United States,~$77-79 million (est.),Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Starbucks,Hospitality/Food Services,United States,~$77-79 million (est.),Minority Stake (Q1),https://www.arabnews.com/node/1675796/business-economy
2020,Berkshire Hathaway,Financial Services/Conglomerate,United States,~$77-79 million (est.),Minority Stake (Q1),https://www.arabnews.com/node/1675796/business-economy
2020,QUALCOMM,Technology/Semiconductors,United States,N/A,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Broadcom,Technology/Semiconductors,United States,N/A,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Jio Platforms,Technology/Telecommunications,Asia - Emerging (India),$1.5 billion,2.32% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2020/jio-platforms/
2020,Reliance Retail,Retail,Asia - Emerging (India),$1.3 billion,2.04% Stake Acquisition,https://techcrunch.com/2020/11/05/reliance-retail-raises-1-3-billion-from-pif/
2020,Tesla,Automotive/Electric Vehicles,United States,$1.7-2.9 billion (initial 2018),3-5% Stake (divested Q4 2019),https://electrek.co/2020/02/04/tsla-saudi-arabia-sold-tesla-stake-worth-billion-before-massive-rally/
2021,Electronic Arts (Initial Stake),Gaming/Technology,United States,N/A,Minority Stake Acquisition,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,Take-Two Interactive,Gaming/Technology,United States,N/A,Minority Stake Acquisition,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,Activision Blizzard,Gaming/Technology,United States,N/A,Minority Stake Acquisition,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,Affinity Partners (Jared Kushner),Private Equity/Financial Services,Global/Multi-region,$2 billion,Investment,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,Steven Mnuchin Investment Fund,Private Equity/Financial Services,Global/Multi-region,$1 billion,Investment,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,LIV Golf,Sports/Entertainment,Global/Multi-region,$2 billion,Establishment/Funding,https://en.wikipedia.org/wiki/Public_Investment_Fund
2021,McLaren Group,Automotive/Luxury/Sports,UK,~£400 million (~$510 million),Stake via Preference Shares (divested 2023),https://www.arabnews.com/node/1895681/business-economy
2021,Newcastle United F.C.,Sports/Entertainment,UK,£305 million (~$409 million),80% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2021/nufc/
2022,Saudi Aramco,Energy,Saudi Arabia,~$78 billion (valuation),4% Stake Transfer to PIF,https://en.wikipedia.org/wiki/Public_Investment_Fund
2022,Nexon,Gaming/Technology,Asia - developed (South Korea),~$500 million (est.),5%+ Stake Acquisition,https://www.techmeme.com/220518/p14
2022,Capcom,Gaming/Technology,Asia - developed (Japan),~$500 million (est.),5%+ Stake Acquisition,https://www.techmeme.com/220518/p14
2022,Nintendo,Gaming/Technology,Asia - developed (Japan),$2.98 billion,5% Stake Acquisition,https://esportsinsider.com/2022/05/saudi-arabia-public-investment-fund-esports-nintendo-stake
2022,Embracer Group,Gaming/Technology,Europe (excluding UK - Sweden),$1 billion,8% Stake Acquisition,https://en.wikipedia.org/wiki/Public_Investment_Fund
2022,Aston Martin,Automotive/Luxury,UK,£78 million (~$95 million),16.7% Stake Acquisition,https://pe-insights.com/news/2022/07/18/aston-martin-raises-650m-as-saudi-arabias-pif-takes-a-stake/
2022,Magic Leap (Additional),Technology/AR-VR,United States,$450 million,Majority Control (>50%),https://www.roadtovr.com/saudi-arabia-majority-control-magic-leap-450m/
2022,Skyborn Renewables,Infrastructure/Renewable Energy,Europe (excluding UK - Germany),N/A,9.5% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2022/skyborn-renewables/
2023,Heathrow Airport (Agreement),Infrastructure/Aviation,UK,$2.5 billion (est. for initial 10%),10% Stake Agreement,https://www.agbi.com/banking-finance/2023/11/pif-buys-10-stake-in-uks-heathrow-airport/
2023,Aston Martin (Increase),Automotive/Luxury,UK,N/A,Increased to 20.5% stake,https://www.arabnews.com/node/2405961/business-economy
2023,Rocco Forte Hotels,Hospitality/Luxury Hotels,UK,~£686 million (49% of £1.4B valuation),49% Stake Acquisition,https://www.arabnews.com/node/2419926/business-economy
2023,STC/Telefonica,Telecommunications,Europe (excluding UK - Spain),$2.25 billion (€2.1B),9.9% Stake (via STC - 62% owned by PIF),https://www.investing.com/news/stock-market-news/saudi-arabias-stc-group-to-become-telefonica-top-shareholder-with-99-stake-3168272
2023,Magic Leap (Continued),Technology/AR-VR,United States,$750 million (since start of 2023),Additional Funding,https://www.bloomberg.com/news/articles/2024-08-06/saudi-arabia-s-pif-provided-750-million-to-depleted-ar-startup-magic-leap
2024,Heathrow Airport (Completion),Infrastructure/Aviation,UK,$2.5 billion (part of €4B combined),15% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2024/pif-completes-its-acquisition-of-15-stake-in-heathrow-airport/
2024,JLL-FMTECH Partnership,Real Estate/Facilities Management,Middle East & North Africa excluding Saudi Arabia,N/A,Strategic Transaction,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2024,Live Nation Entertainment (Exit),Entertainment/Hospitality,United States,$1.38 billion (sale value),Full Divestment,https://www.agbi.com/finance/2024/11/pif-sells-stake-in-us-concert-promoter-live-nation/
2024,Selfridges Group,Retail/Luxury Department Stores,UK,N/A (acquired from bankrupt Signa),40% Stake Acquisition,https://www.agbi.com/retail/2024/10/saudi-arabia-buys-40-stake-in-uk-retailer-selfridges/
2024,BlackRock Partnership,Financial Services/Asset Management,Saudi Arabia,$5 billion,Strategic Partnership - BRIM Platform,https://www.pif.gov.sa/en/news-and-insights/newswire/2025/blackrock-and-pif-continue-strategic-growth-of-blackrock-riyadh-investment-management-platform/
2024,ARM Holdings,Technology/Semiconductors,UK/United States,N/A,Stake doubled - became 7th largest holding,https://www.arabnews.com/node/2612963/business-economy
2024,Apple,Technology/Consumer Electronics,United States,N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,ASML,Technology/Semiconductors,Europe (excluding UK - Netherlands),N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,Analog Devices,Technology/Semiconductors,United States,N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,UnitedHealth,Healthcare,United States,N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,Eli Lilly,Biotech/Pharmaceutical,United States,N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,Merck,Biotech/Pharmaceutical,United States,N/A,New Position Added,https://www.arabnews.com/node/2612963/business-economy
2024,Lucid Motors (Increase),Automotive/Electric Vehicles,United States,N/A,Increased by ~400M shares,https://www.arabnews.com/node/2612963/business-economy
2025,Electronic Arts (Buyout),Gaming/Technology,United States,$55 billion (total with partners),93.6% Acquisition (with Silver Lake & Affinity),https://ir.ea.com/press-releases/press-release-details/2025/EA-Announces-Agreement-to-be-Acquired-by-PIF-Silver-Lake-and-Affinity-Partners-for-55-Billion/default.aspx
